month,day,campaign_number,user_engagement,banner,placement,displays,cost,clicks,revenue,post_click_conversions,post_click_sales_amount,ctr,roi_computed,revenue_per_click
April,4,camp 2,Medium,728 x 90,abc,10,0.0156,1,0.0389,0,0.0,10.0,249.359,0.0389
April,4,camp 2,Medium,728 x 90,def,83221,27.8699,1035,40.2695,17,1170.5669,1.2437,144.491,0.0389
April,4,camp 2,Medium,728 x 90,ghi,89762,101.6149,2492,96.958,81,4156.306,2.7762,95.4171,0.0389
April,4,camp 2,Medium,728 x 90,jkl,24347,9.7449,349,13.5792,8,264.2701,1.4334,139.3467,0.0389
April,4,camp 2,Medium,728 x 90,mno,455986,97.0819,5609,218.237,59,4989.5065,1.2301,224.7968,0.0389
April,4,camp 2,Low,800 x 250,mno,18,0.0022,0,0.0,0,0.0,0.0,0.0,0.0
April,4,camp 2,Medium,800 x 250,mno,22,0.0028,1,0.0389,0,0.0,4.5455,1389.2857,0.0389
April,4,camp 3,High,160 x 600,def,2610,0.6431,3,0.1556,0,0.0,0.1149,24.1953,0.0519
April,4,camp 3,High,160 x 600,ghi,24,0.0328,0,0.0,0,0.0,0.0,0.0,0.0
April,4,camp 3,High,160 x 600,mno,25409,5.6058,64,3.3201,1,11.75,0.2519,59.2262,0.0519
April,4,camp 3,Low,160 x 600,def,10829,0.7002,24,1.245,0,0.0,0.2216,177.8063,0.0519
April,4,camp 3,Low,160 x 600,ghi,33,0.0378,0,0.0,0,0.0,0.0,0.0,0.0
April,4,camp 3,Low,160 x 600,mno,45495,2.6499,147,7.6258,0,0.0,0.3231,287.7769,0.0519
April,4,camp 3,Medium,160 x 600,abc,7,0.0101,0,0.0,0,0.0,0.0,0.0,0.0
April,4,camp 3,Medium,160 x 600,def,16117,1.5794,51,2.6457,0,0.0,0.3164,167.513,0.0519
April,4,camp 3,Medium,160 x 600,ghi,57,0.07,0,0.0,0,0.0,0.0,0.0,0.0
April,4,camp 3,Medium,160 x 600,mno,97370,10.3713,469,24.3304,6,214.6031,0.4817,234.5935,0.0519
April,4,camp 3,High,240 x 400,def,7828,1.705,8,0.415,2,219.3631,0.1022,24.3402,0.0519
April,4,camp 3,High,240 x 400,ghi,11680,10.1288,109,5.6546,9,815.0703,0.9332,55.8269,0.0519
April,4,camp 3,High,240 x 400,jkl,7102,3.2684,24,1.245,0,0.0,0.3379,38.092,0.0519
April,4,camp 3,High,240 x 400,mno,30729,9.8375,45,2.3344,1,151.7022,0.1464,23.7296,0.0519
April,4,camp 3,Low,240 x 400,def,10828,0.8757,27,1.4006,0,0.0,0.2494,159.9406,0.0519
April,4,camp 3,Low,240 x 400,ghi,4504,3.425,41,2.1269,1,15.0444,0.9103,62.0993,0.0519
April,4,camp 3,Low,240 x 400,jkl,893,0.4023,6,0.3112,0,0.0,0.6719,77.3552,0.0519
April,4,camp 3,Low,240 x 400,mno,27268,0.806,46,2.3863,0,0.0,0.1687,296.067,0.0519
April,4,camp 3,Medium,240 x 400,def,29046,3.1202,90,4.6689,1,49.5428,0.3099,149.6346,0.0519
April,4,camp 3,Medium,240 x 400,ghi,20287,17.6357,418,21.6845,3,353.9178,2.0604,122.958,0.0519
April,4,camp 3,Medium,240 x 400,jkl,6445,2.9504,58,3.0088,2,246.9722,0.8999,101.9794,0.0519
April,4,camp 3,Medium,240 x 400,mno,64251,4.6745,216,11.2053,1,188.9608,0.3362,239.7112,0.0519
April,4,camp 3,High,300 x 250,def,5182,1.5746,10,0.5187,0,0.0,0.193,32.9417,0.0519
April,4,camp 3,High,300 x 250,ghi,1429,0.8425,18,0.9337,6,135.7369,1.2596,110.8249,0.0519
April,4,camp 3,High,300 x 250,jkl,314,0.1864,1,0.0518,0,0.0,0.3185,27.7897,0.0518
April,4,camp 3,High,300 x 250,mno,33492,8.8193,104,5.3947,0,0.0,0.3105,61.1693,0.0519
April,4,camp 3,Low,300 x 250,def,22897,1.1193,54,2.8013,0,0.0,0.2358,250.2725,0.0519
April,4,camp 3,Low,300 x 250,ghi,935,0.5019,18,0.9337,0,0.0,1.9251,186.0331,0.0519
April,4,camp 3,Low,300 x 250,mno,64583,2.7076,132,6.8477,0,0.0,0.2044,252.9066,0.0519
April,4,camp 3,Medium,300 x 250,abc,3,0.0054,0,0.0,0,0.0,0.0,0.0,0.0
April,4,camp 3,Medium,300 x 250,def,32818,3.3531,159,8.2484,1,11.8019,0.4845,245.9933,0.0519
April,4,camp 3,Medium,300 x 250,ghi,3105,1.6682,80,4.1501,0,0.0,2.5765,248.7771,0.0519
April,4,camp 3,Medium,300 x 250,jkl,48,0.0287,2,0.1037,0,0.0,4.1667,361.324,0.0519
April,4,camp 3,Medium,300 x 250,mno,122540,9.713,392,20.3358,2,83.5223,0.3199,209.3668,0.0519
April,4,camp 3,High,468 x 60,def,129,0.0205,1,0.0518,0,0.0,0.7752,252.6829,0.0518
April,4,camp 3,High,468 x 60,mno,374,0.0239,0,0.0,0,0.0,0.0,0.0,0.0
April,4,camp 3,Low,468 x 60,def,182,0.0141,1,0.0518,0,0.0,0.5495,367.3759,0.0518
April,4,camp 3,Low,468 x 60,ghi,6,0.0023,0,0.0,0,0.0,0.0,0.0,0.0
April,4,camp 3,Low,468 x 60,mno,334,0.0036,0,0.0,0,0.0,0.0,0.0,0.0
April,4,camp 3,Medium,468 x 60,def,399,0.0383,0,0.0,0,0.0,0.0,0.0,0.0
April,4,camp 3,Medium,468 x 60,ghi,5,0.0019,0,0.0,0,0.0,0.0,0.0,0.0
April,4,camp 3,Medium,468 x 60,mno,909,0.0168,0,0.0,0,0.0,0.0,0.0,0.0
April,4,camp 3,High,580 x 400,mno,7444,3.2504,45,2.3344,1,299.345,0.6045,71.8189,0.0519
April,4,camp 3,Low,580 x 400,mno,9662,0.7715,63,3.2682,0,0.0,0.652,423.6163,0.0519
April,4,camp 3,Medium,580 x 400,mno,21350,2.9831,211,10.9461,3,165.0346,0.9883,366.9371,0.0519
April,4,camp 3,High,670 x 90,def,552,0.2028,1,0.0518,1,5.7194,0.1812,25.5424,0.0518
April,4,camp 3,High,670 x 90,ghi,161,0.1403,1,0.0518,0,0.0,0.6211,36.9209,0.0518
April,4,camp 3,High,670 x 90,jkl,89,0.0642,0,0.0,0,0.0,0.0,0.0,0.0
April,4,camp 3,High,670 x 90,mno,2188,0.4327,3,0.1555,0,0.0,0.1371,35.9371,0.0518
April,4,camp 3,Low,670 x 90,def,473,0.0541,1,0.0518,0,0.0,0.2114,95.7486,0.0518
April,4,camp 3,Low,670 x 90,ghi,59,0.0684,0,0.0,0,0.0,0.0,0.0,0.0
April,4,camp 3,Low,670 x 90,jkl,21,0.013,0,0.0,0,0.0,0.0,0.0,0.0
April,4,camp 3,Low,670 x 90,mno,3315,0.0679,4,0.2075,0,0.0,0.1207,305.5965,0.0519
April,4,camp 3,Medium,670 x 90,def,2461,0.3411,11,0.5706,0,0.0,0.447,167.2823,0.0519
April,4,camp 3,Medium,670 x 90,ghi,204,0.2425,1,0.0518,0,0.0,0.4902,21.3608,0.0518
April,4,camp 3,Medium,670 x 90,jkl,167,0.1058,2,0.1037,0,0.0,1.1976,98.0151,0.0519
April,4,camp 3,Medium,670 x 90,mno,8203,0.3352,14,0.7262,0,0.0,0.1707,216.6468,0.0519
April,4,camp 3,High,728 x 90,abc,3,0.0045,0,0.0,0,0.0,0.0,0.0,0.0
April,4,camp 3,High,728 x 90,def,8876,2.7242,18,0.9337,1,12.048,0.2028,34.2743,0.0519
April,4,camp 3,High,728 x 90,ghi,1849,2.0222,17,0.8818,6,210.8604,0.9194,43.606,0.0519
April,4,camp 3,High,728 x 90,jkl,3969,1.4911,14,0.7262,0,0.0,0.3527,48.7023,0.0519
April,4,camp 3,High,728 x 90,mno,37910,8.3405,84,4.3576,14,1839.8806,0.2216,52.2463,0.0519
April,4,camp 3,Low,728 x 90,abc,2,0.003,0,0.0,0,0.0,0.0,0.0,0.0
April,4,camp 3,Low,728 x 90,def,12824,1.4952,65,3.3718,0,0.0,0.5069,225.5083,0.0519
April,4,camp 3,Low,728 x 90,ghi,684,0.6968,9,0.4668,0,0.0,1.3158,66.992,0.0519
April,4,camp 3,Low,728 x 90,jkl,440,0.1343,11,0.5706,0,0.0,2.5,424.8697,0.0519
April,4,camp 3,Low,728 x 90,mno,73399,2.9438,145,7.5222,0,0.0,0.1976,255.5269,0.0519
April,4,camp 3,Medium,728 x 90,abc,5,0.0081,0,0.0,0,0.0,0.0,0.0,0.0
April,4,camp 3,Medium,728 x 90,def,34012,5.0856,195,10.1151,0,0.0,0.5733,198.8969,0.0519
April,4,camp 3,Medium,728 x 90,ghi,2320,2.2272,33,1.7119,0,0.0,1.4224,76.8633,0.0519
April,4,camp 3,Medium,728 x 90,jkl,4170,1.362,26,1.3487,1,435.2271,0.6235,99.0235,0.0519
April,4,camp 3,Medium,728 x 90,mno,162179,11.3176,470,24.3821,1,8.4299,0.2898,215.4353,0.0519
April,4,camp 3,High,800 x 250,mno,5,0.0012,0,0.0,0,0.0,0.0,0.0,0.0
April,4,camp 3,Low,800 x 250,mno,8,0.0004,0,0.0,0,0.0,0.0,0.0,0.0
April,4,camp 3,Medium,800 x 250,mno,11,0.0014,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 1,High,160 x 600,abc,11,0.0148,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 1,High,160 x 600,def,20249,30.3112,152,27.5573,17,731.5654,0.7507,90.9146,0.1813
April,5,camp 1,High,160 x 600,ghi,17355,31.4498,171,31.014,51,2240.5513,0.9853,98.6143,0.1814
April,5,camp 1,High,160 x 600,mno,193292,243.2549,1952,354.1228,822,36729.0733,1.0099,145.5768,0.1814
April,5,camp 1,Low,160 x 600,abc,1,0.0007,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 1,Low,160 x 600,def,370,0.0475,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 1,Low,160 x 600,ghi,41,0.0719,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 1,Low,160 x 600,mno,2757,0.5059,13,2.3589,3,155.9618,0.4715,466.2779,0.1815
April,5,camp 1,Medium,160 x 600,abc,1,0.0012,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 1,Medium,160 x 600,def,2613,1.4737,8,1.4516,0,0.0,0.3062,98.5004,0.1815
April,5,camp 1,Medium,160 x 600,ghi,822,1.4094,3,0.5443,3,311.5736,0.365,38.6193,0.1814
April,5,camp 1,Medium,160 x 600,mno,23040,12.3744,192,34.8336,44,2143.3442,0.8333,281.4973,0.1814
April,5,camp 1,High,240 x 400,def,60199,54.6646,343,62.2245,106,7872.9876,0.5698,113.8296,0.1814
April,5,camp 1,High,240 x 400,ghi,430443,392.8014,11047,2004.2415,3006,151111.8679,2.5664,510.243,0.1814
April,5,camp 1,High,240 x 400,jkl,68918,34.5005,663,120.2696,253,11669.6644,0.962,348.6025,0.1814
April,5,camp 1,High,240 x 400,mno,242950,453.5336,2359,427.9192,842,42136.0752,0.971,94.3523,0.1814
April,5,camp 1,Low,240 x 400,def,640,0.1527,3,0.5443,0,0.0,0.4688,356.4506,0.1814
April,5,camp 1,Low,240 x 400,ghi,1518,1.2499,16,2.9033,0,0.0,1.054,232.2826,0.1815
April,5,camp 1,Low,240 x 400,jkl,350,0.1764,5,0.9072,0,0.0,1.4286,514.2857,0.1814
April,5,camp 1,Low,240 x 400,mno,2027,0.5953,6,1.0887,2,119.4501,0.296,182.8826,0.1815
April,5,camp 1,Medium,240 x 400,def,6715,2.1852,22,3.992,2,36.1487,0.3276,182.6835,0.1815
April,5,camp 1,Medium,240 x 400,ghi,29275,25.7392,745,135.1775,82,5260.5703,2.5448,525.1814,0.1814
April,5,camp 1,Medium,240 x 400,jkl,5613,2.8179,47,8.5284,3,155.6766,0.8373,302.6509,0.1815
April,5,camp 1,Medium,240 x 400,mno,20525,17.2793,165,29.9313,32,2598.6469,0.8039,173.2206,0.1814
April,5,camp 1,High,300 x 250,abc,12,0.023,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 1,High,300 x 250,def,45511,51.948,256,46.4348,173,19131.0277,0.5625,89.3871,0.1814
April,5,camp 1,High,300 x 250,ghi,61410,41.4622,1025,185.9178,323,13908.0542,1.6691,448.4031,0.1814
April,5,camp 1,High,300 x 250,jkl,8540,4.5815,42,7.6211,24,2050.1338,0.4918,166.3451,0.1815
April,5,camp 1,High,300 x 250,mno,306480,376.0153,2285,414.5388,1159,56137.1222,0.7456,110.2452,0.1814
April,5,camp 1,Low,300 x 250,abc,1,0.0008,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 1,Low,300 x 250,def,455,0.1427,5,0.9072,0,0.0,1.0989,635.7393,0.1814
April,5,camp 1,Low,300 x 250,ghi,115,0.0639,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 1,Low,300 x 250,jkl,9,0.0058,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 1,Low,300 x 250,mno,3600,0.7718,13,2.3574,1,179.2669,0.3611,305.4418,0.1813
April,5,camp 1,Medium,300 x 250,abc,1,0.002,1,0.1814,0,0.0,100.0,9070.0,0.1814
April,5,camp 1,Medium,300 x 250,def,4956,3.1381,25,4.5364,3,49.1746,0.5044,144.5588,0.1815
April,5,camp 1,Medium,300 x 250,ghi,3221,2.0079,103,18.69,6,186.4076,3.1978,930.8232,0.1815
April,5,camp 1,Medium,300 x 250,jkl,676,0.3854,3,0.5443,0,0.0,0.4438,141.2299,0.1814
April,5,camp 1,Medium,300 x 250,mno,32456,17.9437,224,40.6432,25,1268.6498,0.6902,226.504,0.1814
April,5,camp 1,High,468 x 60,def,1212,0.6549,1,0.1814,0,0.0,0.0825,27.6989,0.1814
April,5,camp 1,High,468 x 60,ghi,495,0.1924,1,0.1814,5,75.3821,0.202,94.2827,0.1814
April,5,camp 1,High,468 x 60,jkl,17,0.0109,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 1,High,468 x 60,mno,3559,2.1829,10,1.8145,16,1624.7739,0.281,83.1234,0.1815
April,5,camp 1,Low,468 x 60,def,3,0.0001,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 1,Low,468 x 60,mno,7,0.0006,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 1,Medium,468 x 60,def,115,0.052,1,0.1814,0,0.0,0.8696,348.8462,0.1814
April,5,camp 1,Medium,468 x 60,ghi,22,0.0085,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 1,Medium,468 x 60,mno,285,0.0621,1,0.1814,0,0.0,0.3509,292.1095,0.1814
April,5,camp 1,High,580 x 400,mno,55260,151.1625,1068,193.6994,560,27129.2873,1.9327,128.1398,0.1814
April,5,camp 1,Low,580 x 400,mno,467,0.1927,1,0.1814,0,0.0,0.2141,94.136,0.1814
April,5,camp 1,Medium,580 x 400,mno,4978,5.4603,114,20.683,12,740.0794,2.2901,378.7887,0.1814
April,5,camp 1,High,670 x 90,def,6059,12.6687,81,14.6979,33,1299.0337,1.3369,116.0174,0.1815
April,5,camp 1,High,670 x 90,ghi,22463,18.9244,198,35.9163,77,2907.8529,0.8814,189.7883,0.1814
April,5,camp 1,High,670 x 90,jkl,554,0.3735,8,1.4516,2,57.6513,1.444,388.6479,0.1815
April,5,camp 1,High,670 x 90,mno,21720,31.8931,172,31.1939,73,3396.8623,0.7919,97.8077,0.1814
April,5,camp 1,Low,670 x 90,def,47,0.0085,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 1,Low,670 x 90,ghi,70,0.1002,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 1,Low,670 x 90,jkl,10,0.0057,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 1,Low,670 x 90,mno,150,0.0235,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 1,Medium,670 x 90,def,632,0.411,8,1.4516,0,0.0,1.2658,353.1873,0.1815
April,5,camp 1,Medium,670 x 90,ghi,1528,1.1604,11,1.996,8,259.9104,0.7199,172.0097,0.1815
April,5,camp 1,Medium,670 x 90,jkl,45,0.0296,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 1,Medium,670 x 90,mno,2147,1.4712,15,2.7218,0,0.0,0.6986,185.0054,0.1815
April,5,camp 1,High,728 x 90,abc,5,0.0076,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 1,High,728 x 90,def,80467,104.0209,548,99.3946,184,8035.0029,0.681,95.5525,0.1814
April,5,camp 1,High,728 x 90,ghi,259521,335.592,3655,663.0582,1052,50405.2843,1.4084,197.5787,0.1814
April,5,camp 1,High,728 x 90,jkl,44449,18.475,360,65.3003,76,3461.6812,0.8099,353.4522,0.1814
April,5,camp 1,High,728 x 90,mno,406827,420.0923,2649,480.5589,1230,54042.031,0.6511,114.3936,0.1814
April,5,camp 1,High,728 x 90,,8,0.0152,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 1,Low,728 x 90,abc,1,0.0006,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 1,Low,728 x 90,def,791,0.1799,3,0.5443,0,0.0,0.3793,302.557,0.1814
April,5,camp 1,Low,728 x 90,ghi,431,0.5343,3,0.5443,1,8.7487,0.6961,101.8716,0.1814
April,5,camp 1,Low,728 x 90,jkl,253,0.1071,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 1,Low,728 x 90,mno,4825,0.8506,25,4.5364,3,93.9814,0.5181,533.3177,0.1815
April,5,camp 1,Medium,728 x 90,def,8973,5.6261,38,6.8953,2,111.816,0.4235,122.5591,0.1815
April,5,camp 1,Medium,728 x 90,ghi,14508,17.8738,234,42.4518,25,2891.362,1.6129,237.5085,0.1814
April,5,camp 1,Medium,728 x 90,jkl,4336,1.7893,43,7.8026,5,451.3858,0.9917,436.07,0.1815
April,5,camp 1,Medium,728 x 90,mno,45661,21.4102,321,58.2369,60,3150.3442,0.703,272.0054,0.1814
April,5,camp 1,High,800 x 250,mno,17,0.0438,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 1,Medium,800 x 250,mno,1,0.0007,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 2,Low,160 x 600,def,7339,0.7372,11,0.4277,0,0.0,0.1499,58.0168,0.0389
April,5,camp 2,Low,160 x 600,ghi,199,0.2475,4,0.1555,0,0.0,2.0101,62.8283,0.0389
April,5,camp 2,Low,160 x 600,mno,67913,8.932,389,15.124,5,1058.5169,0.5728,169.3238,0.0389
April,5,camp 2,Medium,160 x 600,abc,7,0.0119,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 2,Medium,160 x 600,def,25541,6.9496,315,12.246,4,106.1194,1.2333,176.2116,0.0389
April,5,camp 2,Medium,160 x 600,ghi,4128,6.3838,121,4.7036,7,729.2943,2.9312,73.6803,0.0389
April,5,camp 2,Medium,160 x 600,mno,255360,66.0523,4155,161.5419,42,2148.6573,1.6271,244.5667,0.0389
April,5,camp 2,Low,240 x 400,def,18437,2.3917,80,3.1106,0,0.0,0.4339,130.0581,0.0389
April,5,camp 2,Low,240 x 400,ghi,36888,29.8908,772,30.0142,26,905.8048,2.0928,100.4128,0.0389
April,5,camp 2,Low,240 x 400,jkl,5890,2.7666,83,3.2273,0,0.0,1.4092,116.6522,0.0389
April,5,camp 2,Low,240 x 400,mno,57316,8.0638,347,13.4893,0,0.0,0.6054,167.2822,0.0389
April,5,camp 2,Medium,240 x 400,def,90466,21.1146,908,35.3009,7,626.3721,1.0037,167.1872,0.0389
April,5,camp 2,Medium,240 x 400,ghi,301285,267.3337,13392,520.6202,209,16005.4956,4.445,194.7454,0.0389
April,5,camp 2,Medium,240 x 400,jkl,43838,21.1379,980,38.0968,17,1760.2559,2.2355,180.2298,0.0389
April,5,camp 2,Medium,240 x 400,mno,254419,92.2954,3345,130.0397,74,6116.4163,1.3148,140.8951,0.0389
April,5,camp 2,Low,300 x 250,def,13030,1.8678,80,3.11,1,16.0555,0.614,166.506,0.0389
April,5,camp 2,Low,300 x 250,ghi,6059,3.7541,106,4.119,0,0.0,1.7495,109.72,0.0389
April,5,camp 2,Low,300 x 250,jkl,182,0.0906,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 2,Low,300 x 250,mno,92317,10.6968,440,17.1048,1,5.8182,0.4766,159.9058,0.0389
April,5,camp 2,Medium,300 x 250,abc,11,0.0182,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 2,Medium,300 x 250,def,47008,17.0182,436,16.9483,13,831.909,0.9275,99.5893,0.0389
April,5,camp 2,Medium,300 x 250,ghi,46150,29.781,1776,69.0442,30,3082.0597,3.8483,231.8398,0.0389
April,5,camp 2,Medium,300 x 250,jkl,1826,1.0193,12,0.4666,0,0.0,0.6572,45.7765,0.0389
April,5,camp 2,Medium,300 x 250,mno,343693,94.7498,3652,141.9736,87,5952.5281,1.0626,149.8405,0.0389
April,5,camp 2,Low,468 x 60,def,247,0.0498,2,0.0777,0,0.0,0.8097,156.0241,0.0389
April,5,camp 2,Low,468 x 60,ghi,2,0.0007,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 2,Low,468 x 60,mno,798,0.031,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 2,Medium,468 x 60,def,1337,0.3029,5,0.1944,0,0.0,0.374,64.1796,0.0389
April,5,camp 2,Medium,468 x 60,ghi,178,0.0692,1,0.0388,0,0.0,0.5618,56.0694,0.0388
April,5,camp 2,Medium,468 x 60,jkl,6,0.0038,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 2,Medium,468 x 60,mno,3391,0.3376,10,0.3888,0,0.0,0.2949,115.1659,0.0389
April,5,camp 2,Low,580 x 400,mno,15546,3.9609,232,9.0119,4,172.7942,1.4923,227.5215,0.0388
April,5,camp 2,Medium,580 x 400,mno,58675,33.0908,2123,82.5358,27,3014.0942,3.6182,249.4222,0.0389
April,5,camp 2,Low,670 x 90,def,855,0.1612,4,0.1555,0,0.0,0.4678,96.464,0.0389
April,5,camp 2,Low,670 x 90,ghi,545,0.4594,2,0.0777,0,0.0,0.367,16.9134,0.0389
April,5,camp 2,Low,670 x 90,jkl,60,0.0379,1,0.0388,0,0.0,1.6667,102.3747,0.0388
April,5,camp 2,Low,670 x 90,mno,6126,0.4969,28,1.0887,0,0.0,0.4571,219.0984,0.0389
April,5,camp 2,Medium,670 x 90,def,5833,2.0791,67,2.6051,0,0.0,1.1486,125.2994,0.0389
April,5,camp 2,Medium,670 x 90,ghi,8317,7.9345,128,4.977,5,524.3183,1.539,62.7261,0.0389
April,5,camp 2,Medium,670 x 90,jkl,776,0.4897,19,0.7387,0,0.0,2.4485,150.8475,0.0389
April,5,camp 2,Medium,670 x 90,mno,24726,5.4108,330,12.8283,6,221.5416,1.3346,237.0869,0.0389
April,5,camp 2,Low,728 x 90,abc,1,0.0015,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 2,Low,728 x 90,def,17415,3.1326,106,4.119,2,21.2689,0.6087,131.4882,0.0389
April,5,camp 2,Low,728 x 90,ghi,6712,7.2444,90,3.4975,1,43.5384,1.3409,48.2787,0.0389
April,5,camp 2,Low,728 x 90,jkl,2565,1.0342,27,1.0492,4,334.7763,1.0526,101.4504,0.0389
April,5,camp 2,Low,728 x 90,mno,101585,9.4669,518,20.1371,1,54.347,0.5099,212.7106,0.0389
April,5,camp 2,Low,728 x 90,,2,0.0016,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 2,Medium,728 x 90,abc,7,0.0082,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 2,Medium,728 x 90,def,84280,29.8085,861,33.4761,5,368.3671,1.0216,112.3039,0.0389
April,5,camp 2,Medium,728 x 90,ghi,92329,105.3619,2307,89.6836,55,4426.7497,2.4987,85.1196,0.0389
April,5,camp 2,Medium,728 x 90,jkl,24096,10.0831,329,12.7888,24,906.7753,1.3654,126.834,0.0389
April,5,camp 2,Medium,728 x 90,mno,417968,96.3619,5019,195.1213,43,3573.427,1.2008,202.488,0.0389
April,5,camp 2,Medium,728 x 90,,4,0.0076,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 2,Low,800 x 250,mno,1,0.0001,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 2,Medium,800 x 250,mno,7,0.0015,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 3,High,160 x 600,def,2366,0.5598,5,0.2592,0,0.0,0.2113,46.3023,0.0518
April,5,camp 3,High,160 x 600,ghi,28,0.0347,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 3,High,160 x 600,mno,22297,4.8962,43,2.2284,4,760.3858,0.1929,45.5128,0.0518
April,5,camp 3,Low,160 x 600,def,9150,0.5522,19,0.9841,0,0.0,0.2077,178.2144,0.0518
April,5,camp 3,Low,160 x 600,ghi,31,0.0424,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 3,Low,160 x 600,mno,34386,1.903,117,6.0624,0,0.0,0.3403,318.5707,0.0518
April,5,camp 3,Medium,160 x 600,abc,9,0.012,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 3,Medium,160 x 600,def,14412,1.3118,40,2.0729,0,0.0,0.2775,158.0195,0.0518
April,5,camp 3,Medium,160 x 600,ghi,60,0.0738,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 3,Medium,160 x 600,mno,74266,7.4193,332,17.2064,2,378.8785,0.447,231.9141,0.0518
April,5,camp 3,High,240 x 400,def,7593,1.5134,11,0.5702,0,0.0,0.1449,37.6768,0.0518
April,5,camp 3,High,240 x 400,ghi,9755,8.2454,89,4.6141,3,134.0574,0.9124,55.9597,0.0518
April,5,camp 3,High,240 x 400,jkl,6794,3.2486,23,1.1907,2,78.2505,0.3385,36.6527,0.0518
April,5,camp 3,High,240 x 400,mno,24488,6.7517,69,3.5772,4,462.8305,0.2818,52.9822,0.0518
April,5,camp 3,Low,240 x 400,def,9105,0.6986,43,2.2284,0,0.0,0.4723,318.9808,0.0518
April,5,camp 3,Low,240 x 400,ghi,4321,3.3191,22,1.1405,0,0.0,0.5091,34.3617,0.0518
April,5,camp 3,Low,240 x 400,jkl,1017,0.4941,5,0.2592,0,0.0,0.4916,52.459,0.0518
April,5,camp 3,Low,240 x 400,mno,19779,0.6375,31,1.6071,0,0.0,0.1567,252.0941,0.0518
April,5,camp 3,Medium,240 x 400,def,25961,2.6378,60,3.1089,0,0.0,0.2311,117.8596,0.0518
April,5,camp 3,Medium,240 x 400,ghi,17442,14.5286,347,17.9755,5,324.6993,1.9895,123.7249,0.0518
April,5,camp 3,Medium,240 x 400,jkl,6684,3.2863,74,3.8365,1,41.8645,1.1071,116.7422,0.0518
April,5,camp 3,Medium,240 x 400,mno,49705,3.397,159,8.239,0,0.0,0.3199,242.5375,0.0518
April,5,camp 3,High,300 x 250,def,4353,1.3273,11,0.5702,2,796.49,0.2527,42.9594,0.0518
April,5,camp 3,High,300 x 250,ghi,1285,0.7857,8,0.4147,0,0.0,0.6226,52.781,0.0518
April,5,camp 3,High,300 x 250,jkl,249,0.1564,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 3,High,300 x 250,mno,28643,7.4441,81,4.1985,12,755.1971,0.2828,56.4004,0.0518
April,5,camp 3,Low,300 x 250,abc,1,0.0008,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 3,Low,300 x 250,def,16892,0.8941,57,2.9551,0,0.0,0.3374,330.5111,0.0518
April,5,camp 3,Low,300 x 250,ghi,773,0.4169,8,0.4147,0,0.0,1.0349,99.4723,0.0518
April,5,camp 3,Low,300 x 250,jkl,5,0.0017,0,0.0,0,0.0,0.0,0.0,0.0
April,5,camp 3,Low,300 x 250,mno,46600,1.9794,112,5.8066,0,0.0,0.2403,293.3515,0.0518
